Grantee Name ,Amount Awarded,Date of Approval (listed as month/day/year),Duration of Grant (Months),Organization City,Organization State,Region
UK PROGRAM,,,,,,
2017 Grants,,,,,,
British Future," £160,000.00 ",2/27/2017,24,London,,United Kingdom
Chancellor Masters & Scholars of the University of Oxford," £55,000.00 ",7/12/2017,36,Oxford,,United Kingdom
Citizens UK," £180,000.00 ",2/27/2017,24,London,,United Kingdom
Counterpoints Arts," £120,000.00 ",11/15/2017,24,London,,United Kingdom
Counterpoints Arts," £180,000.00 ",2/27/2017,24,London,,United Kingdom
Education Policy Institute," £60,000.00 ",11/15/2017,24,London,,United Kingdom
Focus on Labour Exploitation," £50,000.00 ",11/15/2017,24,London,,United Kingdom
Get Together Ltd," £100,000.00 ",11/15/2017,12,London,,United Kingdom
Global Dialogue," £300,000.00 ",7/12/2017,24,London,,United Kingdom
HOPE not hate Charitable Trust," £120,000.00 ",7/12/2017,12,London,,United Kingdom
Immigration Law Practitioners' Association," £40,000.00 ",7/12/2017,24,London,,United Kingdom
JustRight Scotland LLP," £100,000.00 ",7/12/2017,24,Glasgow,,United Kingdom
Latin American Women’s Rights Service," £80,000.00 ",11/15/2017,24,London,,United Kingdom
Migrants Resource Centre," £100,000.00 ",7/12/2017,24,London,,United Kingdom
New Philanthropy Capital," £375,000.00 ",11/15/2017,36,London,,United Kingdom
Refugee Action," £100,000.00 ",7/12/2017,24,London,,United Kingdom
Social Finance Ltd," £100,000.00 ",7/12/2017,12,London,,United Kingdom
Social Finance Ltd," £50,000.00 ",11/15/2017,10,London,,United Kingdom
The Social Market Foundation," £80,000.00 ",11/15/2017,24,London,,United Kingdom
The Aziz Foundation," £50,000.00 ",7/12/2017,24,London,,United Kingdom
The Bell Educational Trust Limited," £135,000.00 ",2/27/2017,24,Cambridge,,United Kingdom
The Public Law Project," £100,000.00 ",7/12/2017,24,London,,United Kingdom
,,,,,,
,,,,,,
2016 Grants,,,,,,
Asylum Research Consultancy," £50,000.00 ",11/16/2016,24,London,,United Kingdom
Asylum Support Appeals Project," £60,000.00 ",2/2/2016,36,London,,United Kingdom
BtB Education Limited," £125,000.00 ",3/16/2016,24,London,,United Kingdom
Centre for the Study of Emotion and Law," £60,000.00 ",2/2/2016,24,London,,United Kingdom
